id,url,itunes_id,original_url,newest_item_pubdate,oldest_item_pubdate,language
83,"https://gloryrevolution.podomatic.com/rss2.xml","","http://gloryrevolution.podomatic.com/rss2.xml",1465986740,1420024806,"en-au"
84,"https://sreeyahpathe-srinivasa.podomatic.com/rss2.xml","1000327131","http://sreeyahpathe-srinivasa.podomatic.com/rss2.xml",1433044383,1433044383,"en-us"
85,"http://pod.ssenhosting.com/rss/wpffhtm/yamete.xml","1000328124","http://pod.ssenhosting.com/rss/wpffhtm/yamete.xml",0,0,""
86,"http://www.fahlstaff.com/podcast?format=rss","1000340940","http://www.fahlstaff.com/podcast?format=rss",1433059047,1433059047,"en-US"
87,"http://www.ourfridaycall.com/?feed=podcast","1000346081","http://www.ourfridaycall.com/?feed=podcast",1482587792,1432738105,"en-GB"
88,"https://124331852.podomatic.com/rss2.xml","1000358655","http://124331852.podomatic.com/rss2.xml",1434511010,1433068692,"en-us"
89,"https://danapete422000.podomatic.com/rss2.xml","","http://danapete422000.podomatic.com/rss2.xml",1606139493,1514829231,"en-us"
90,"http://www.tapper7.com/feed/podcast","1000376999","http://www.tapper7.com/feed/podcast",1522576018,1433121353,"en-US"
91,"https://matthew-hobson2.podomatic.com/rss2.xml","1000379943","http://matthew-hobson2.podomatic.com/rss2.xml",1441391184,1433079276,"en-gb"
92,"https://www.spreaker.com/show/1409491/episodes/feed","","http://www.spreaker.com/show/1409491/episodes/feed",1606071686,1464316217,"en"
93,"http://feeds.soundcloud.com/users/soundcloud:users:47550828/sounds.rss","1000387053","http://feeds.soundcloud.com/users/soundcloud:users:47550828/sounds.rss",1611823320,1433189786,"en"
94,"https://itunesu.itunes.apple.com/feed/id1000387621","1000387621","https://itunesu.itunes.apple.com/feed/id1000387621",1433087275,1433087026,"GA"
95,"https://itunesu.itunes.apple.com/feed/id1000388631","1000388631","https://itunesu.itunes.apple.com/feed/id1000388631",1433086380,1433085072,"GA"
96,"https://subramaniam-nathan.podomatic.com/rss2.xml","1000394044","http://subramaniam-nathan.podomatic.com/rss2.xml",1435257937,1432991596,"en-us"
97,"https://amandaalexander.com/feed/podcast","1000397219","https://amandaalexander.com/feed/podcast",1494599499,1480158113,"en-US"
98,"http://feeds.soundcloud.com/users/soundcloud:users:145866481/sounds.rss","1000397789","http://feeds.soundcloud.com/users/soundcloud:users:145866481/sounds.rss",1582079373,1427768609,"en"
99,"https://districtknightspodcast.podomatic.com/rss2.xml","1000397927","http://districtknightspodcast.podomatic.com/rss2.xml",1434327319,1432845103,"en-us"
100,"http://feeds.feedburner.com/ScorchingAryes?format=xml","1000398372","http://feeds.feedburner.com/ScorchingAryes?format=xml",1609327838,1393248623,"en"
101,"http://jonathan-stanley-xjot.squarespace.com/cyantificfm?format=rss","1000398391","http://jonathan-stanley-xjot.squarespace.com/cyantificfm?format=rss",1609459260,1433089306,"en-US"
